,Central and Western,Wan Chai (1),Eastern (1),Southern,Yau Tsim Mong,Sham Shui Po,Kowloon City,Wong Tai Sin,Kwun Tong,Kwai Tsing,Tsuen Wan,Tuen Mun,Yuen Long,North,Tai Po,Sha Tin,Sai Kung,Islands,Land
58, 4 021, 2 452, 9 834, 4 829, 5 211, 7 391, 6 545, 8 469, 12 649, 8 792, 5 767, 9 443, 12 788, 6 212, 6 027, 12 273, 8 886, 3 386, 134 975
59, 3 660, 2 651, 9 677, 4 756, 4 613, 7 304, 5 965, 8 548, 11 684, 8 545, 5 513, 9 781, 13 159, 6 326, 6 456, 12 439, 9 250, 3 284, 133 611
60, 3 129, 2 274, 8 832, 4 323, 3 907, 6 415, 5 716, 7 576, 10 636, 7 775, 5 225, 8 723, 11 805, 6 161, 6 226, 11 822, 8 413, 3 009, 121 967
61, 3 443, 2 282, 9 594, 4 364, 4 178, 6 538, 5 998, 7 662, 11 452, 8 671, 4 904, 9 417, 12 040, 6 008, 6 507, 12 449, 8 401, 3 080, 126 988
62, 3 214, 2 242, 8 926, 4 342, 4 109, 6 514, 5 514, 7 664, 10 477, 8 232, 5 005, 9 047, 11 193, 5 874, 6 279, 11 528, 7 715, 2 642, 120 517
63, 3 385, 2 319, 9 365, 4 437, 4 155, 6 983, 5 790, 7 689, 10 940, 8 784, 4 994, 9 670, 11 366, 6 514, 6 548, 12 310, 8 061, 2 597, 125 907
64, 3 292, 2 195, 8 814, 4 182, 3 959, 6 477, 5 494, 7 109, 10 350, 8 229, 4 521, 9 176, 10 815, 6 134, 6 041, 11 657, 7 370, 2 508, 118 323
65, 3 306, 2 155, 8 293, 3 917, 3 987, 6 350, 5 320, 6 550, 9 881, 7 439, 4 511, 8 565, 9 666, 5 060, 5 627, 10 975, 6 803, 2 554, 110 959
66, 3 077, 1 985, 8 095, 3 736, 3 613, 6 025, 5 230, 5 916, 9 496, 7 434, 4 242, 8 139, 8 746, 4 898, 4 954, 10 545, 6 288, 2 037, 104 456
67, 2 880, 1 931, 7 414, 3 816, 3 667, 5 519, 4 760, 6 119, 9 126, 6 947, 3 855, 7 811, 8 106, 4 526, 5 062, 10 028, 5 865, 1 968, 99 400
68, 2 600, 1 926, 7 278, 3 223, 3 191, 5 257, 4 511, 5 217, 8 339, 6 717, 3 339, 7 293, 6 827, 3 996, 4 176, 9 330, 5 200, 1 805, 90 225
69, 2 650, 1 875, 7 100, 3 171, 3 078, 5 213, 4 528, 5 086, 8 098, 6 122, 3 388, 7 153, 6 527, 3 680, 3 822, 8 920, 4 959, 1 785, 87 155
70, 2 514, 1 905, 6 801, 3 172, 3 222, 4 908, 4 290, 4 792, 7 754, 5 742, 2 935, 6 598, 6 382, 3 413, 3 524, 8 584, 4 512, 1 670, 82 718
71, 2 566, 1 925, 6 936, 2 837, 3 039, 4 827, 4 214, 4 567, 7 847, 6 023, 3 055, 5 955, 5 759, 2 970, 3 208, 8 272, 4 512, 1 611, 80 123
72, 2 454, 2 010, 6 827, 2 863, 2 833, 4 388, 4 396, 4 429, 7 664, 5 882, 3 181, 5 890, 5 456, 2 856, 3 164, 7 984, 4 235, 1 536, 78 048
73, 2 272, 1 670, 6 376, 2 675, 2 676, 3 878, 3 899, 4 022, 6 924, 5 311, 2 682, 4 710, 4 519, 2 348, 2 642, 7 033, 3 762, 1 436, 68 835
74, 1 887, 1 715, 5 562, 2 544, 2 402, 3 499, 3 496, 3 634, 6 352, 4 817, 2 438, 4 125, 3 667, 2 104, 2 138, 6 140, 3 363, 1 123, 61 006
75, 1 530, 1 277, 4 195, 2 008, 2 104, 3 042, 3 010, 3 142, 5 485, 4 296, 2 169, 3 383, 3 161, 1 699, 1 883, 4 765, 2 592,  916, 50 657
